章节号,原编号,章节标题,起始行号,结束行号,行数
258,258,"神秘的青衣女人",36461,36608,148
259,259,"三名斗皇强者的战...",36609,36759,151
260,260,"八翼黑蛇皇",36760,36910,151
261,261,"天空大战",36911,37070,160
262,262,"异火相融，佛怒火...",37071,37251,181
263,263,"恐怖的破坏力",37252,37366,115
264,264,"药老沉睡",37367,37511,145
265,265,"依靠自己",37512,37641,130
266,266,"休养与控火能力",37642,37744,103
267,267,"美杜莎女王再现?...",37745,37865,121
268,268,"较量",37866,38013,148
269,269,"暴涨的契合度",38014,38119,106
270,270,"紫火丹",38120,38273,154
271,271,"山寨版的佛怒火莲...",38274,38355,82
272,272,"解决隐患，离开之...",38356,38434,79
273,273,"抵达帝都",38435,38552,118
274,274,"米特尔拍卖场，故...",38553,38766,214
275,275,"恶毒",38767,38917,151
276,276,"寻药",38918,39047,130
277,277,"阻拦",39048,39162,115
278,278,"贱骨头",39163,39307,145
279,279,"七幻青灵涎",39308,39449,142
280,280,"薰儿",39450,39576,127
281,281,"隐藏在暗中的保护...",39577,39688,112
282,282,"我试试",39689,39818,130
283,283,"倔着骨，咬着牙，忍...",39819,40047,229
284,284,"驱毒",40048,40180,133
285,285,"意外之喜，黑指",40181,40367,187
286,286,"淘宝",40368,40518,151
287,287,"冠军的福利",40519,40705,187
288,288,"参加",40706,40883,178
289,289,"柳翎",40884,41061,178
290,290,"潜在对手",41062,41221,160
291,291,"晋级七星，最后的...",41222,41405,184
292,292,"提炼",41406,41577,172
293,293,"测验",41578,41833,256
294,294,"结束",41834,41960,127
295,296,"黑马",41961,42126,166
296,297,"聚会，木战",42127,42478,352
297,298,"短暂的对决",42479,42611,133
298,299,"纳兰嫣然的出手",42612,42765,154
299,300,"收场",42766,42910,145
300,301,"突如其来的斗皇气势...",42911,43085,175
301,302,"麻袍加老",43086,43314,229
302,303,"加老的实力",43315,43450,136
303,304,"法犸，夭夜，大会开始...",43451,43865,415
304,305,"第一轮，开始!",43866,44046,181
305,306,"惊心动魄",44047,44251,205
306,307,"测验，神秘的灰袍人...",44252,44510,259
307,308,"过于简单的第二轮",44511,44649,139
308,309,"问题所在",44650,44797,148
309,310,"力挽狂澜 大会暂休...",44798,45050,253
310,311,"诡秘的黑袍人",45051,45288,238
311,312,"真相",45289,45421,133
312,313,"炎利",45422,45554,133
313,314,"天降横财",45555,45717,163
314,315,"三纹青灵丹",45718,45856,139
315,316,"最后一轮:开始!",45857,45989,133
316,317,"各显神通",45990,46116,127
317,318,"失败",46117,46273,157
318,319,"冠军，我要了!",46274,46403,130
319,320,"再度崛起",46404,46515,112
320,321,"紫心破障丹",46516,46669,154
321,322,"炸炉",46670,46805,136
322,323,"最后的胜利者!",46806,46965,160
323,324,"评价",46966,47092,127
324,325,"大会结束!",47093,47216,124
325,326,"领取奖励",47217,47352,136
326,327,"七幻青灵涎到手",47353,47479,127
327,328,"药老苏醒?",47480,47630,151
328,329,"夜谈",47631,47742,112
329,330,"服用三纹青灵丹",47743,47848,106
330,331,"晋阶大斗师!",47849,48008,160
331,332,"托付",48009,48183,175
332,333,"萧家，萧炎!",48184,48316,133
333,334,"三年之约!",48317,48428,112
334,335,"纳兰嫣然，败?",48429,48585,157
335,336,"双方的真实实力",48586,48715,130
336,337,"白热化的战斗!",48716,48845,130
337,338,"风之极:落日耀",48846,49014,169
338,339,"暴露",49015,49147,133
339,340,"小型佛怒火莲!",49148,49265,118
340,341,"结束",49266,49422,157
341,342,"风波再起",49423,49624,202
342,343,"逃不掉的麻烦",49625,49766,142
343,344,"一触即发",49767,49902,136
344,345,"三名斗王强者",49903,50056,154
345,346,"大战!",50057,50207,151
346,347,"七彩吞天蟒出场!...",50208,50328,121
347,348,"悲剧的云棱",50329,50557,229
348,349,"云烟覆日阵",50558,50702,145
349,350,"神秘斗皇出场!",50703,50856,154
350,351,"斗皇，凌影",50857,50998,142
351,352,"云岚宗的底牌!",50999,51170,172
352,353,"云岚宗上任宗主，...",51171,51519,349
353,354,"下山",51520,51718,199
354,355,"分别与交易",51719,51896,178
355,356,"回家之途",51897,52095,199
356,357,"萧家变故",52096,52321,226
357,358,"一个不留",52322,52484,163
358,359,"他必须死",52485,52623,139
359,360,"安顿萧家",52624,52882,259
360,361,"再上云岚宗!",52883,53063,181
361,362,"药岩，云芝",53064,53217,154
362,363,"击杀云棱",53218,53365,148
363,364,"生死之局!",53366,53555,190
364,365,"生死门",53556,53685,130
365,366,"斗宗强者间的大战...",53686,54010,325
366,367,"大逃亡开始",54011,54110,100
367,368,"养伤",54111,54237,127
368,369,"节攀升!晋级!",54238,54346,109
369,370,"天火三玄变!",54347,54488,142
370,371,"秘法的妙处",54489,54624,136
371,372,"血腥报复!",54625,54868,244
372,373,"魔兽山脉中的围杀...",54869,55016,148
373,374,"突如其来的援兵",55017,55170,154
374,375,"逃脱",55171,55327,157
375,376,"大岭城",55328,55424,97
376,377,"离开前的准备",55425,55545,121
377,378,"黑角域",55546,55636,91
378,379,"暴露",55637,55808,172
379,380,"离开加玛帝国!",55809,55959,151
380,381,"神秘势力，魂殿?",55960,56071,112
381,382,"迦南学院，萧家有...",56072,56246,175
382,383,"黑域大平原",56247,56352,106
383,384,"不需要慈悲的混乱...",56353,56440,88
384,385,"黑榜，黑风暴",56441,56576,136
385,386,"黑印城",56577,56697,121
386,387,"经济窘迫的萧炎",56698,56806,109
387,388,"炼丹脱贫",56807,56927,121
388,389,"黑印拍卖场",56928,57045,118
389,390,"拍卖会开始",57046,57166,121
390,391,"飞行斗技:雷蝠天...",57167,57296,130
391,392,"雷蝠天翼的争夺以...",57297,57444,148
392,393,"横生变故",57445,57574,130
393,394,"地阶身法斗技:三...",57575,57695,121
394,395,"重头戏!",57696,57822,127
395,396,"七品丹药:阴阳玄...",57823,57895,73
396,397,"尾随",57896,58034,139
397,398,"埋伏截杀",58035,58161,127
398,399,"大路激战",58162,58303,142
399,400,"鹬蚌相争，萧炎得利!",58304,58475,172
400,401,"天火三玄变第一重:...",58476,58611,136
401,402,"收获!",58612,58765,154
402,403,"吞服阴阳玄龙丹!",58766,58910,145
403,404,"和平镇",58911,59052,142
404,405,"迦南学院执法队",59053,59167,115
405,406,"关键时刻!",59168,59513,346
406,407,"一招",59514,59661,148
407,408,"杀鸡儆猴",59662,59803,142
408,409,"黑夜中的对碰",59804,59993,190
409,410,"初次交锋",59994,60123,130
410,411,"扑朔迷离",60124,60232,109
411,412,"劲敌",60233,60338,106
412,413,"对战陆牧",60339,60462,124
413,414,"玩火",60463,60619,157
414,415,"丹火之技",60620,60785,166
415,416,"执法队:吴昊",60786,60900,115
416,417,"挑战",60901,61027,127
417,418,"家传玉片",61028,61211,184
418,419,"最后的选拔赛",61212,61332,121
419,420,"大混战",61333,61456,124
420,421,"撼雷地弧爆",61457,61574,118
421,422,"战斗中晋级!",61575,61683,109
422,423,"薰儿的实力",61684,61756,73
423,424,"以一敌三",61757,61886,130
424,425,"毫不留情",61887,62010,124
425,426,"比赛落幕",62011,62110,100
426,427,"大赛后的安宁",62111,62204,94
427,428,"神秘的藏书阁",62205,62331,127
428,429,"神秘的守阁人",62332,62458,127
429,430,"争抢",62459,62585,127
430,431,"声波斗技",62586,62724,139
431,432,"狮虎碎金吟",62725,62869,145
432,433,"修炼",62870,62987,118
433,434,"虎啸震山林",62988,63114,127
434,435,"内院的位置",63115,63211,97
435,436,"火能猎捕赛",63212,63332,121
436,437,"队长",63333,63441,109
437,438,"反抢",63442,63601,160
438,439,"火能的作用",63602,63737,136
439,440,"猎人与猎物的位置调...",63738,63882,145
440,441,"飞速成长的配合",63883,63997,115
441,442,"形成整体之后的战...",63998,64112,115
442,443,"大反击",64113,64236,124
443,444,"强者对战",64237,64366,130
444,445,"大战起",64367,64418,52
445,446,"胜局暂现",64419,64521,103
446,447,"鹬蚌相争，渔翁后...",64522,64642,121
447,448,"变故",64643,64775,133
448,449,"斗黑煞队",64776,64896,121
449,450,"争分夺秒",64897,65017,121
450,451,"扭转局面",65018,65126,109
451,452,"悲愤的沙铁",65127,65244,118
452,453,"分赃，养伤",65245,65395,151
453,454,"白煞队",65396,65552,157
454,455,"最后的大战!",65553,65832,280
455,456,"赢!",65833,65962,130
456,457,"奖励",65963,66107,145
457,458,"安顿",66108,66249,142
458,459,"新生纳贡费",66250,66391,142
459,460,"震慑与客气",66392,66515,124
460,461,"磐门!",66516,66636,121
461,462,"神秘黑塔",66637,66817,181
462,463,"修炼加速器",66818,67046,229
463,464,"震动",67047,67221,175
464,465,"初见",67222,67342,121
465,466,"黑洞",67343,67502,160
466,467,"神秘的无形火蟒",67503,67617,115
467,468,"麻烦事",67618,67840,223
468,469,"赌注",67841,68012,172
469,470,"战付敖",68013,68298,286
470,471,"白帮的实力",68299,68428,130
471,472,"相遇",68429,68588,160
472,473,"暗中交锋",68589,68733,145
473,474,"中级修炼室",68734,68884,151
474,475,"淬炼",68885,69002,118
475,476,"第二层",69003,69129,127
476,477,"探查与会谈",69130,69247,118
477,478,"七星大斗师",69248,69368,121
478,479,"磐门的变化",69369,69504,136
479,480,"陀舍古帝玉?",69505,69640,136
480,481,"陀舍古帝",69641,69752,112
481,482,"青木仙藤",69753,69891,139
482,483,"古怪的家伙",69892,70036,145
483,484,"交易",70037,70190,154
484,485,"青芝火灵膏，速灵...",70191,70320,130
485,486,"闭关",70321,70444,124
486,487,"找上门的麻烦",70445,70580,136
487,488,"柳菲",70581,70722,142
488,489,"赫长老",70723,70843,121
489,490,"修炼进展",70844,70958,115
490,491,"再次突破!",70959,71067,109
491,492,"霸枪柳擎",71068,71161,94
492,493,"赚取火能",71162,71285,124
493,494,"大批炼制",71286,71403,118
494,495,"丰硕的收获!",71404,71539,136
495,496,"16kxs.com 冲突",71540,71666,127
496,497,"16xsc○m药帮韩闲...",71667,71775,109
497,498,"比试",71776,71914,139
498,499,"比试题目:龙力丹...",71915,72077,163
499,500,"幻金火",72078,72192,115
500,501,"半成品",72193,72319,127
501,502,"幸不辱命",72320,72443,124
502,503,"胜利",72444,72576,133
503,504,"招纳",72577,72682,106
504,505,"修炼，三千雷动",72683,72818,136
505,506,"风雷之力",72819,72942,124
506,507,"炼化成功",72943,73066,124
507,508,"雷闪",73067,73181,115
508,509,"16kxs.com领悟，尺法...",73182,73341,160
509,510,"地心淬体乳",73342,73438,97
510,511,"强榜高手",73439,73550,112
511,512,"狂暴血脉",73551,73707,157
512,513,"邀请",73708,73828,121
513,514,"蟒猿相斗",73829,73940,112
514,515,"寻宝",73941,74022,82
515,516,"真假地心乳",74023,74149,127
516,517,"美杜莎女王再现",74150,74261,112
517,518,"约定",74262,74379,118
518,519,"调配药液",74380,74500,121
519,520,"九星大斗师",74501,74603,103
520,521,"晋阶斗灵",74604,74718,115
521,522,"回院",74719,74839,121
522,523,"出场",74840,74993,154
523,524,"激战",74994,75129,136
524,525,"对战六星斗灵",75130,75247,118
525,526,"拼药",75248,75341,94
526,527,"强力一击",75342,75456,115
527,528,"敌败",75457,75568,112
528,529,"一耳光",75569,75794,226
529,530,"强榜排名",75795,75897,103
530,531,"神秘的强榜第一",75898,75997,100
531,532,"冰火龙须果",75998,76106,109
532,533,"神秘白衣小女孩",76107,76236,130
533,534,"不是人",76237,76360,124
534,535,"最后一种材料",76361,76475,115
535,536,"交换",76476,76611,136
536,537,"到手",76612,76717,106
537,538,"炼制地灵丹",76718,76841,124
538,539,"动静",76842,76974,133
539,540,"药皇，韩枫!",76975,77086,112
540,541,"丹成",77087,77225,139
541,542,"探宝的天赋",77226,77367,142
542,543,"急事?",77368,77500,133
543,544,"回外院",77501,77645,145
544,545,"族中变故",77646,77781,136
545,546,"魂殿参与",77782,77875,94
546,547,"萧炎的打算",77876,77978,103
547,548,"摆擂接战",77979,78063,85
548,549,"姚盛",78064,78169,106
549,550,"初步交锋",78170,78317,148
550,551,"一号修炼室",78318,78435,118
551,552,"塔中暴动",78436,78547,112
552,553,"陨落心炎提前的暴...",78548,78671,124
553,554,"大长...",78672,78783,112
554,555,"冤家路窄",78784,78895,112
555,556,"针锋相对",78896,79013,118
556,557,"定对手",79014,79125,112
557,558,"大赛开始",79126,79246,121
558,559,"贝崌",79247,79346,100
559,560,"尺法",79347,79478,132
560,561,"血地八裂场中",79479,79584,106
561,562,"青火盔甲灰尘弥漫之中",79585,79681,97
562,563,"柳擎的出场望着那重重撞在墙壁上不知死活的白程",79682,79814,133
563,564,"大裂劈棺爪",79815,80578,764
564,541,"耀眼萧炎平静的声音回荡在广场中",80579,82038,1460
565,552,"落幕",82039,82498,460
566,556,"分离",82499,83206,708
567,562,"破塔！",83207,84830,1624
568,504,"赶尽杀绝蔚蓝天际",84831,85184,354
569,577,"斑哦的能量匹练",85185,86226,1042
570,584,"绝境",86227,86498,272
571,586,"生死之段",86499,86640,142
572,587,"缓慢的蜕变",86641,88340,1700
573,598,"召集人手",88341,88687,347
574,600,"喝退",88688,88835,148
575,601,"援兵",88836,89037,202
576,602,"击杀范痨",89038,89176,139
577,603,"大开杀戒",89177,89339,163
578,604,"噬生丹",89340,89886,547
579,608,"交锋",89887,90400,514
580,612,"翡翠火莲",90401,90530,130
581,612,"你的命。",90531,90672,142
582,614,"魂殿再现",90673,90811,139
583,615,"幽海纳戒“不愧是黑盟盟主",90812,90920,109
584,616,"闭关疗伤随着枫城的那场激烈大战的过去",90921,91017,97
585,617,"帝遇手掌抚摸着这漆黑卷轴",91018,91132,115
586,618,"打算",91133,91410,278
587,620,"修炼开山印！",91411,91764,354
588,623,"震慑",91765,92021,257
589,625,"收罗药材",92022,92224,203
590,627,"丹药拍卖会",92225,92708,484
591,621,"药老苏醒！",92709,92826,118
592,632,"师徒相旦天空之上",92827,92924,98
593,633,"炼制躯体的材料",92925,93054,130
594,634,"寻解之法",93055,93172,118
595,635,"恢复",93173,93296,124
596,636,"姚氏三兄弟",93297,93426,130
597,637,"照看",93427,93544,118
598,638,"安置磐门",93545,93665,121
599,639,"十招",93666,93837,172
600,640,"安宁",93838,94003,166
601,641,"万事皆备",94004,94079,76
602,642,"离开内院",94080,94176,97
603,643,"启程:回归加玛!",94177,94294,118
604,644,"云岚宗的动静",94295,94415,121
605,645,"万里之遥",94416,94546,131
606,647,"木铁",94547,94664,118
607,648,"斩杀",94665,94776,112
608,649,"加玛情势",94777,94918,142
609,650,"宗内议事",94919,95027,109
610,651,"米特尔之难",95028,95136,109
611,652,"血洗",95137,95324,188
612,654,"赶至帝都!",95325,95451,127
613,655,"讨债",95452,95520,69
614,656,"其人之道还治其人之身",95521,95675,155
615,657,"大开杀戒",95676,95814,139
616,658,"横扫",95815,95926,112
617,659,"云岚宗的震惊",95927,96065,139
618,660,"局势",96066,96156,91
619,661,"势",96157,96283,127
620,662,"商讨",96284,96401,118
621,663,"安顿萧家",96402,96549,148
622,664,"女人间的针锋相对...",96550,96691,142
623,665,"雪魅",96692,96818,127
624,666,"傅岩",96819,96945,127
625,667,"见面",96946,97042,97
626,668,"现身",97043,97139,97
627,669,"婚礼",97140,97305,166
628,670,"混元塑骨丹",97306,97444,139
629,671,"萧家新府邸",97445,97586,142
630,672,"夜谈",97587,97728,142
631,673,"幽海蛟兽",97729,97876,148
632,674,"治疗",97877,97985,109
633,675,"大战来临!",97986,98106,121
634,676,"大婚之日",98107,98254,148
635,677,"十招之战",98255,98399,145
636,678,"战古河",98400,98532,133
637,679,"败!",98533,98659,127
638,680,"杀无赦!",98660,98780,121
639,681,"决战，云岚宗!",98781,98958,178
640,682," 决战云山!",98959,99076,118
641,683,"大悲撕风手!",99077,99332,256
642,684," 鹜护法",99333,99480,148
643,685,"风刹湮罡",99481,99628,148
644,686,"底牌 三色火莲",99629,99761,133
645,687,"火莲爆发",99762,99876,115
646,688,"杀?",99877,99994,118
647,689,"击杀云山!!",99995,100160,166
648,690,"变故",100161,100314,154
649,691,"纳兰嫣然再现",100315,100450,136
650,692,"药老战鹜护法",100451,100604,154
651,693,"斗宗大战",100605,100755,151
652,694,"被捕",100756,100894,139
653,695,"痛苦",100895,101030,136
654,696,"处理云岚宗",101031,101175,145
655,697,"云岚宗结局",101176,101311,136
656,698,"落幕",101312,101438,127
657,699,"形势",101439,101523,85
658,700,"宗门大会",101524,101629,106
659,701,"毒宗",101630,101738,109
660,702,"药老所留",101739,101841,103
661,703,"势力雏形",101842,101980,139
662,704,"离别",101981,102110,130
663,705,"痊愈",102111,102222,112
664,706,"联盟",102223,102328,106
665,707,"炎盟",102329,102437,109
666,708,"事成",102438,102564,127
667,709,"炼制",102565,102682,118
668,710,"闭关之念",102683,102818,136
669,711,"青山",102819,103002,184
670,712,"遇故",103003,103159,157
671,713,"古怪的山谷",103160,103316,157
672,714,"神秘黑影",103317,103455,139
673,715,"小医仙?",103456,103582,127
674,716,"紫研晋阶",103583,103667,85
675,717,"丹成",103668,103800,133
676,718,"赫家",103801,103849,49
677,719,"援手",103850,103997,148
678,720,"赫乾",103998,104097,100
679,721," 闭死关",104098,104212,115
680,722,"变动",104213,104324,112
681,723,"灵魂窥测",104325,104427,103
682,724,"晋阶斗皇!",104428,104542,115
683,725,"出谷",104543,104651,109
684,726,"大乱",104652,104763,112
685,727,"毒宗，金雁宗，慕兰...",104764,104863,100
686,728,"援救",104864,104981,118
687,729,"蛇人月媚",104982,105126,145
688,730,"情势",105127,105211,85
689,731," 大战",105212,105323,112
690,732,"三兽蛮荒决",105324,105471,148
691,733,"迎战慕兰三老",105472,105580,109
692,734,"激战!",105581,105737,157
693,735,"三千雷",105738,106008,271
694,736,"骗局",106009,106090,82
695,737,"鹰啼",106091,106181,91
696,738,"毒宗宗主!",106182,106293,112
697,739,"身法较技",106294,106432,139
698,740,"爆!",106433,106580,148
699,741,"威望!",106581,106683,103
700,742,"物是人非",106684,106789,106
701,743,"大战休止",106790,106934,145
