章节,标题,起始行,结束行,行数
627,九重浪vs龙虎怪,109788,109965,178
628,降龙伏虎，败,109966,110137,172
629,火璃圣人闭关,110138,110258,121
630,大劫将至,110259,110385,127
631,震惊的天一符圣,110386,110527,142
632,巨头谈崩了,110528,110678,151
633,给小鹤派任务,110679,110859,181
634,金蛇圣佛,110860,111013,154
635,劫云见我绕路跑,111014,111203,190
636,内心骚动的分身,111204,111345,142
637,花爷，来喝酒啊!,111346,111547,202
638,蘑菇仙子,111548,111710,163
639,攻击他们的大本营,111711,111882,172
640,佛国的超级舰队,111883,112015,133
641,深入佛土,112016,112172,157
642,佛国来袭,112173,112323,151
643,抵达南荒,112324,112483,160
644,护山大阵的威力,112484,112628,145
645,弹指间灰飞烟灭,112629,112794,166
646,流星泪显威,112795,112939,145
647,炸死这些秃驴,112940,113096,157
648,准备用大招,113097,113271,175
649,九重浪再现,113272,113431,160
650,旗舰毁灭,113432,113588,157
651,寿元无多,113589,113739,151
652,震惊蛮荒,113740,113914,175
653,服用玉参王,113915,114050,136
654,印制传单,114051,114192,142
655,佛国地图,114193,114340,148
656,造势,114341,114509,169
657,表演即将开始,114510,114654,145
658,炸佛塔,114655,114817,163
659,震惊人族,114818,115001,184
660,佛主的野心,115002,115134,133
661,先斩后奏,115135,115261,127
662,建造传送阵的方法,115262,115403,142
663,拿八哥来练剑,115404,115548,145
664,我这里有酒,115549,115717,169
665,天圣榜,115718,115859,142
666,争取早日成圣,115860,115983,124
667,龙族来人,115984,116119,136
668,又送特产,116120,116267,148
669,赠符,116268,116421,154
670,寂灭星辰,116422,116566,145
671,逆天搭档,116567,116729,163
672,异象融合,116730,116895,166
673,金色流星泪,116896,117091,196
674,火璃圣人要渡劫,117092,117269,178
675,火璃圣人的第九次圣人劫,117270,117420,151
676,穿透一切的金色印记,117421,117577,157
677,黑手还在,117578,117719,142
678,渡劫成功,117720,117855,136
679,好多流星泪,117856,117997,142
680,我想去幽州,117998,118139,142
681,抵达幽州,118140,118314,175
682,改日再来,118315,118447,133
683,红叶圣人,118448,118598,151
684,没钱,118599,118746,148
685,云轩符圣,118747,118900,154
686,叶家天牢,118901,119057,157
687,闯禁地,119058,119208,151
688,叶家的底蕴,119209,119377,169
689,嗅天犬,119378,119534,157
690,又一坨鸟屎,119535,119697,163
691,臭气熏天,119698,119866,169
692,主人，救我,119867,120056,190
693,剥狗皮,120057,120213,157
694,进入天牢,120214,120346,133
695,玄黄旗,120347,120515,169
696,愤怒的叶弥天,120516,120711,196
697,救人,120712,120904,193
698,兄妹重逢,120905,121061,157
699,吸髓灵针,121062,121227,166
700,护妹狂,121228,121378,151
701,幽冥圣体和寂灭仙瞳,121379,121496,118
702,麒麟圣体,121497,121605,109
703,疗伤,121606,121744,139
704,寂灭仙经,121745,121919,175
705,结晶,121920,122088,169
706,断臂重生,122089,122221,133
707,麒麟道图,122222,122366,145
708,叶家少主叶辰,122367,122529,163
709,暴怒的叶辰,122530,122668,139
710,叶青瓷的蜕变,122669,122813,145
711,打我一下试试?,122814,122958,145
712,方尘的心上人?,122959,123139,181
713,云千雪的伤势,123140,123290,151
714,修复道台的方法,123291,123465,175
715,道台破碎,123466,123634,169
716,云千雪渡劫,123635,123785,151
717,斩心魔,123786,123939,154
718,千雪圣人,123940,124099,160
719,第四次圣人劫,124100,124271,172
720,一起接受洗礼,124272,124470,199
721,叶青瓷苏醒,124471,124618,148
722,火璃圣人的剑印,124619,124769,151
723,她就是蘑菇仙子,124770,124953,184
724,眼睛恢复,124954,125122,169
725,邀请加入琉璃剑宗,125123,125249,127
726,靓女俊男,125250,125424,175
727,你们怎么不早说?,125425,125578,154
728,全部都同意,125579,125747,169
729,琉璃剑宗的人太好,125748,125874,127
730,小伊的本体,125875,126067,193
731,从圣土归来,126068,126191,124
732,把那两个贱种抓回来,126192,126360,169
733,叶家来人,126361,126514,154
734,火璃圣人出手,126515,126653,139
735,看你能忍到什么时候,126654,126816,163
736,袖里乾坤,126817,126952,136
737,乾坤罩的威力,126953,127088,136
738,方尘vs嗅天犬,127089,127251,163
739,那只狗好肥,127252,127387,136
740,嗅天犬的真正实力,127388,127559,172
741,混沌空间激战,127560,127716,157
742,疯狂吞噬,127717,127849,133
743,气急败坏的嗅天犬,127850,128012,163
744,有种你就自爆,128013,128187,175
745,欢迎你们来找茬,128188,128353,166
746,屠狗,128354,128498,145
747,要不把这狗炖了吧,128499,128631,133
748,此乃大补之物,128632,128800,169
749,请人,128801,128957,157
750,再临瑶池圣地,128958,129117,160
751,请你赴宴,129118,129244,127
752,我能带几个兄弟去吗?,129245,129404,160
753,那是灵犬圣人的狗,129405,129564,160
754,魔族在南海的老巢,129565,129685,121
755,等我好消息,129686,129827,142
756,准备撤离,129828,129972,145
757,听我的，不用担心,129973,130180,208
758,杀死那个人族,130181,130385,205
759,方尘vs天驰魔圣,130386,130554,169
760,一浪接一浪,130555,130738,184
761,斩黑白魔圣,130739,130910,172
762,杀招尽出,130911,131091,181
763,清缴魔巢,131092,131260,169
764,河伯厨圣来了,131261,131408,148
765,齐聚逍遥岛,131409,131577,169
766,哪位是方尘道友?,131578,131719,142
767,你小子有种,131720,131861,142
768,激活混沌天狗血脉,131862,132021,160
769,起锅烧水,132022,132193,172
770,四个腰子,132194,132332,139
771,宾客齐聚,132333,132519,187
772,狗肉宴开始,132520,132703,184
773,蟠桃盛会邀请帖,132704,132881,178
774,宾客离去,132882,133044,163
775,黑炎道主渡劫,133045,133210,166
776,黑色丹炉,133211,133379,169
777,粉身碎骨,133380,133530,151
778,黑炎圣人,133531,133681,151
779,缥缈道主渡劫,133682,133871,190
780,继续留在琉璃剑宗,133872,134040,169
781,吃狗画面公布,134041,134203,163
782,灵犬圣人气吐血了,134204,134360,157
783,狗肉的效果很好,134361,134523,163
784,炼制战甲,134524,134671,148
785,噬神战甲,134672,134831,160
786,琉璃源界的藏书阁,134832,134988,157
787,八哥的分身术,134989,135157,169
788,阴阳长寿功,135158,135302,145
789,分身渡劫,135303,135486,184
790,合体,135487,135667,181
791,传授噬神诀,135668,135821,154
792,长生贴,135822,135972,151
793,炼制心劫丹,135973,136132,160
794,豆荚内的丹药,136133,136295,163
795,看望红河圣人,136296,136446,151
796,修复筑基道台,136447,136573,127
797,古岩圣人,136574,136721,148
798,紫色火焰印记,136722,136845,124
799,三种先天道图,136846,137014,169
800,火璃圣人的天劫,137015,137177,163
801,堪称仙术,137178,137382,205
802,不灭仙经第二层,137383,137557,175
803,做好被灭宗的准备,137558,137702,145
804,再临南海龙宫,137703,137859,157
805,帮龙龟一把,137860,138007,148
806,安顿好分身,138008,138173,166
807,玉皇搬血经,138174,138327,154
808,抵达长生谷,138328,138505,178
809,有很多熟人,138506,138671,166
810,乾坤圣主,138672,138816,145
